Ace_FMRC202647993-1a,PE,Ace_FMRC202647993-1a_1.clean.fq.gz,Ace_FMRC202647993-1a_2.clean.fq.gz,input_FMRC202647990-1a
Buty_FMRC202647995-1a,PE,Buty_FMRC202647995-1a_1.clean.fq.gz,Buty_FMRC202647995-1a_2.clean.fq.gz,input_FMRC202647990-1a
GCN5_FMRC202647991-1a,PE,GCN5_FMRC202647991-1a_1.clean.fq.gz,GCN5_FMRC202647991-1a_2.clean.fq.gz,input_FMRC202647990-1a
Succ_FMRC202647994-1a,PE,Succ_FMRC202647994-1a_1.clean.fq.gz,Succ_FMRC202647994-1a_2.clean.fq.gz,input_FMRC202647990-1a
input_FMRC202647990-1a,PE,input_FMRC202647990-1a_1.clean.fq.gz,input_FMRC202647990-1a_2.clean.fq.gz,input_FMRC202647990-1a
005mM-Prop_FMRC210029797-1a,PE,005mM-Prop_FMRC210029797-1a_1.clean.fq.gz,005mM-Prop_FMRC210029797-1a_2.clean.fq.gz,005mM-input_FMRC210029791-1a
005mM-Succ_FMRC210029795-1a,PE,005mM-Succ_FMRC210029795-1a_1.clean.fq.gz,005mM-Succ_FMRC210029795-1a_2.clean.fq.gz,005mM-input_FMRC210029791-1a
005mM-input_FMRC210029791-1a,PE,005mM-input_FMRC210029791-1a_1.clean.fq.gz,005mM-input_FMRC210029791-1a_2.clean.fq.gz,005mM-input_FMRC210029791-1a
